log_id,complaint_id,staff_id,old_status,new_status,note,changed_at
1,1,18,Received,In Progress,Issue reviewed and assigned to field team,2025-09-22 05:13:09
2,1,16,In Progress,Resolved,Field team dispatched to location,2025-09-22 18:13:09
3,2,7,Received,In Progress,"Work in progress, estimated 24hrs",2026-04-12 11:39:58
4,3,5,Received,In Progress,"Work in progress, estimated 24hrs",2025-10-15 15:22:09
5,3,15,In Progress,Resolved,,2025-10-15 19:22:09
6,5,9,Received,In Progress,Issue reviewed and assigned to field team,2025-11-27 20:33:23
7,5,20,In Progress,Resolved,Escalated to senior staff,2025-11-28 06:33:23
8,6,20,Received,In Progress,Issue resolved and verified by supervisor,2025-09-24 14:23:13
9,6,5,In Progress,Resolved,Issue reviewed and assigned to field team,2025-09-25 10:23:13
10,7,13,Received,In Progress,Field team dispatched to location,2025-11-07 13:03:34
11,7,18,In Progress,Resolved,Issue reviewed and assigned to field team,2025-11-07 18:03:34
12,8,12,Received,In Progress,"Work in progress, estimated 24hrs",2025-12-22 07:19:55
13,8,6,In Progress,Resolved,Field team dispatched to location,2025-12-22 11:19:55
14,9,19,Received,In Progress,Issue reviewed and assigned to field team,2025-11-17 09:48:31
15,10,20,Received,In Progress,Complaint closed after resolution confirmation,2025-11-04 14:30:44
16,10,5,In Progress,Resolved,Escalated to senior staff,2025-11-05 08:30:44
17,11,12,Received,In Progress,Escalated to senior staff,2026-02-05 00:39:04
18,11,14,In Progress,Resolved,Issue resolved and verified by supervisor,2026-02-05 05:39:04
19,11,16,Resolved,Closed,Field team dispatched to location,2026-02-05 06:39:04
20,12,18,Received,In Progress,Field team dispatched to location,2026-04-24 06:01:08
21,13,7,Received,In Progress,Complaint closed after resolution confirmation,2025-12-15 14:01:29
22,13,7,In Progress,Resolved,Complaint closed after resolution confirmation,2025-12-16 02:01:29
23,14,5,Received,In Progress,Issue resolved and verified by supervisor,2026-02-18 00:44:33
24,14,6,In Progress,Resolved,Escalated to senior staff,2026-02-18 16:44:33
25,15,16,Received,In Progress,"Work in progress, estimated 24hrs",2025-11-02 23:59:46
26,16,5,Received,In Progress,"Work in progress, estimated 24hrs",2025-10-06 04:46:36
27,17,16,Received,In Progress,Field team dispatched to location,2026-03-30 20:20:19
28,19,8,Received,In Progress,,2026-04-26 11:05:42
29,19,15,In Progress,Resolved,Field team dispatched to location,2026-04-27 06:05:42
30,20,16,Received,In Progress,Complaint closed after resolution confirmation,2026-02-27 07:00:21
31,20,10,In Progress,Resolved,,2026-02-27 18:00:21
32,20,19,Resolved,Closed,Escalated to senior staff,2026-02-28 16:00:21
33,21,10,Received,In Progress,,2026-02-10 00:39:02
34,21,7,In Progress,Resolved,Escalated to senior staff,2026-02-10 05:39:02
35,22,6,Received,In Progress,"Work in progress, estimated 24hrs",2026-03-18 00:08:54
