complaint_id,token,citizen_id,category_id,dept_id,ward_no,description,photo_path,status,priority,sla_deadline,feedback_pending,filed_at,resolved_at
1,LGC-2026-00001,17,6,3,Ward-5,Transformer blast in our area,,Resolved,Normal,2025-09-24 04:13:09,1,2025-09-22 04:13:09,2025-09-22 22:36:35
2,LGC-2026-00002,14,7,4,Ward-14,Garbage not collected for 5 days,,In Progress,Normal,2026-04-13 22:39:58,0,2026-04-11 22:39:58,
3,LGC-2026-00003,33,8,4,Ward-14,Children at risk from open drain,,Resolved,Normal,2025-10-18 07:22:09,1,2025-10-15 07:22:09,2025-10-15 18:09:29
4,LGC-2026-00004,20,6,3,Ward-3,Transformer leaking oil,,Received,Normal,2025-12-29 23:57:08,0,2025-12-27 23:57:08,
5,LGC-2026-00005,77,4,2,Ward-13,Illegally parked trucks blocking road,uploads/complaint_5.jpg,Resolved,Normal,2025-12-02 15:33:23,1,2025-11-27 15:33:23,2025-12-03 00:30:29
6,LGC-2026-00006,55,5,3,Ward-5,Lights not working near mosque,,Resolved,High,2025-09-25 09:23:13,1,2025-09-24 09:23:13,2025-09-25 00:31:03
7,LGC-2026-00007,11,2,1,Ward-3,Sewage overflow on main road,,Resolved,Normal,2025-11-10 12:03:34,1,2025-11-07 12:03:34,2025-11-09 23:33:14
8,LGC-2026-00008,38,5,3,Ward-1,No street light in our lane,uploads/complaint_8.jpg,Resolved,High,2025-12-22 21:19:55,1,2025-12-21 21:19:55,2025-12-23 06:23:36
9,LGC-2026-00009,34,2,1,Ward-13,Open manhole near school,,In Progress,Normal,2025-11-19 19:48:31,0,2025-11-16 19:48:31,
10,LGC-2026-00010,19,8,4,Ward-2,Open nullah near houses is dangerous,,Resolved,Normal,2025-11-07 10:30:44,1,2025-11-04 10:30:44,2025-11-09 10:33:03
11,LGC-2026-00011,16,3,2,Ward-8,Speed bumps needed on school road,,Closed,Normal,2026-02-08 07:39:04,0,2026-02-04 07:39:04,2026-02-10 07:28:45
12,LGC-2026-00012,56,5,3,Ward-12,Multiple lights off near park,,In Progress,Normal,2026-04-24 11:01:08,0,2026-04-23 11:01:08,
13,LGC-2026-00013,74,7,4,Ward-10,Garbage not collected for 5 days,,Resolved,High,2025-12-16 16:01:29,1,2025-12-14 16:01:29,2025-12-15 17:32:19
14,LGC-2026-00014,36,6,3,Ward-3,Transformer leaking oil,,Resolved,Normal,2026-02-19 06:44:33,1,2026-02-17 06:44:33,2026-02-17 20:01:50
15,LGC-2026-00015,42,3,2,Ward-11,Large pothole on main road,uploads/complaint_15.jpg,In Progress,Normal,2025-11-06 10:59:46,0,2025-11-02 10:59:46,
16,LGC-2026-00016,71,8,4,Ward-1,Children at risk from open drain,,In Progress,Normal,2025-10-08 04:46:36,0,2025-10-05 04:46:36,
17,LGC-2026-00017,66,3,2,Ward-14,Large pothole on main road,,In Progress,Normal,2026-04-03 17:20:19,0,2026-03-30 17:20:19,
18,LGC-2026-00018,64,5,3,Ward-11,Street light pole damaged,,Received,Normal,2025-09-22 01:03:23,0,2025-09-21 01:03:23,
19,LGC-2026-00019,63,4,2,Ward-2,Illegal shop built on footpath,,Resolved,High,2026-04-30 11:05:42,1,2026-04-25 11:05:42,2026-04-29 05:36:27
20,LGC-2026-00020,12,5,3,Ward-4,Street light broken for 2 weeks,,Closed,Normal,2026-02-28 05:00:21,0,2026-02-27 05:00:21,2026-02-27 16:13:03
21,LGC-2026-00021,66,6,3,Ward-12,Transformer making loud noise,,Resolved,CRITICAL,2026-02-11 08:39:02,1,2026-02-09 08:39:02,2026-02-10 20:08:47
22,LGC-2026-00022,25,1,1,Ward-15,Pipe leakage causing water wastage,uploads/complaint_22.jpg,Resolved,Normal,2026-03-19 09:08:54,1,2026-03-17 09:08:54,2026-03-17 19:18:54
23,LGC-2026-00023,54,7,4,Ward-6,No sanitation worker seen this week,,Resolved,Normal,2025-12-15 18:13:46,1,2025-12-13 18:13:46,2025-12-15 13:42:35
24,LGC-2026-00024,63,5,3,Ward-14,No street light in our lane,,In Progress,Normal,2026-02-22 10:07:24,0,2026-02-21 10:07:24,
25,LGC-2026-00025,59,5,3,Ward-15,Multiple lights off near park,uploads/complaint_25.jpg,Closed,Normal,2025-11-14 06:22:03,0,2025-11-13 06:22:03,2025-11-14 10:15:16
26,LGC-2026-00026,6,7,4,Ward-6,Garbage dumped on street corner,,In Progress,Normal,2026-01-29 01:19:54,0,2026-01-27 01:19:54,
27,LGC-2026-00027,64,8,4,Ward-1,Nullah blocked with garbage,,Closed,Normal,2026-03-18 01:41:34,0,2026-03-15 01:41:34,2026-03-15 16:18:33
28,LGC-2026-00028,68,4,2,Ward-15,Unauthorized construction on green belt,,Resolved,Normal,2025-09-11 23:02:59,1,2025-09-06 23:02:59,2025-09-14 21:46:06
29,LGC-2026-00029,34,1,1,Ward-6,Pipe leakage causing water wastage,,Resolved,High,2026-02-04 08:48:47,1,2026-02-02 08:48:47,2026-02-05 14:31:38
30,LGC-2026-00030,63,3,2,Ward-14,Road cave-in near hospital,,Resolved,Normal,2025-09-18 22:36:13,1,2025-09-14 22:36:13,2025-09-18 10:18:31
31,LGC-2026-00031,56,6,3,Ward-2,Transformer blast in our area,uploads/complaint_31.jpg,Received,Normal,2026-02-22 07:23:01,0,2026-02-20 07:23:01,
32,LGC-2026-00032,8,3,2,Ward-5,Speed bumps needed on school road,,In Progress,Normal,2026-01-28 13:46:19,0,2026-01-24 13:46:19,
33,LGC-2026-00033,24,6,3,Ward-3,Frequent load shedding due to faulty transformer,,Resolved,Normal,2025-10-03 16:02:18,1,2025-10-01 16:02:18,2025-10-03 03:06:42
34,LGC-2026-00034,30,5,3,Ward-8,Multiple lights off near park,,In Progress,Normal,2026-02-27 11:30:27,0,2026-02-26 11:30:27,
35,LGC-2026-00035,70,8,4,Ward-3,Open nullah near houses is dangerous,,Closed,CRITICAL,2026-02-22 13:13:11,0,2026-02-19 13:13:11,2026-02-21 08:47:13
36,LGC-2026-00036,33,4,2,Ward-8,Vendor blocking road access,uploads/complaint_36.jpg,Closed,High,2025-11-22 08:50:13,0,2025-11-17 08:50:13,2025-11-18 15:54:07
37,LGC-2026-00037,74,5,3,Ward-5,Multiple lights off near park,uploads/complaint_37.jpg,Closed,Normal,2025-09-10 12:29:30,0,2025-09-09 12:29:30,2025-09-10 08:28:43
38,LGC-2026-00038,7,7,4,Ward-15,No sanitation worker seen this week,,Resolved,CRITICAL,2026-03-14 21:50:01,1,2026-03-12 21:50:01,2026-03-14 07:20:49
39,LGC-2026-00039,25,3,2,Ward-10,Speed bumps needed on school road,uploads/complaint_39.jpg,Resolved,CRITICAL,2025-10-28 02:52:29,1,2025-10-24 02:52:29,2025-10-31 23:08:06
40,LGC-2026-00040,5,7,4,Ward-10,Waste bin overflowing,,Received,Normal,2025-10-24 00:50:48,0,2025-10-22 00:50:48,
41,LGC-2026-00041,17,2,1,Ward-13,Open manhole near school,,In Progress,CRITICAL,2026-01-24 02:02:21,0,2026-01-21 02:02:21,
42,LGC-2026-00042,62,2,1,Ward-13,Blocked drainage causing flooding,uploads/complaint_42.jpg,Resolved,Normal,2026-01-13 13:03:17,1,2026-01-10 13:03:17,2026-01-11 00:01:15
43,LGC-2026-00043,51,8,4,Ward-14,Foul smell from blocked nullah,uploads/complaint_43.jpg,Received,Normal,2026-01-24 01:16:14,0,2026-01-21 01:16:14,
44,LGC-2026-00044,48,1,1,Ward-11,Water tap not working for a week,,In Progress,Normal,2026-04-18 00:29:41,0,2026-04-16 00:29:41,
45,LGC-2026-00045,61,6,3,Ward-1,Transformer leaking oil,,In Progress,Normal,2026-04-09 00:41:45,0,2026-04-07 00:41:45,
46,LGC-2026-00046,60,5,3,Ward-15,Multiple lights off near park,uploads/complaint_46.jpg,Received,Normal,2026-02-07 13:35:35,0,2026-02-06 13:35:35,
47,LGC-2026-00047,15,8,4,Ward-2,Nullah blocked with garbage,,Received,Normal,2026-03-31 18:17:51,0,2026-03-28 18:17:51,
48,LGC-2026-00048,70,6,3,Ward-7,Transformer leaking oil,,Closed,Normal,2025-11-02 00:15:28,0,2025-10-31 00:15:28,2025-11-02 23:31:26
49,LGC-2026-00049,36,8,4,Ward-1,Open drain flooding the street,,In Progress,CRITICAL,2025-11-27 09:06:00,0,2025-11-24 09:06:00,
50,LGC-2026-00050,48,1,1,Ward-9,Water tap not working for a week,uploads/complaint_50.jpg,In Progress,Normal,2025-09-26 12:22:03,0,2025-09-24 12:22:03,
51,LGC-2026-00051,59,7,4,Ward-2,Garbage truck hasn't visited in a week,uploads/complaint_51.jpg,Closed,Normal,2026-04-22 21:48:13,0,2026-04-20 21:48:13,2026-04-22 22:22:27
